item,classification,value,unit,period_or_as_of_date,primary_source_and_locator,rationale,independent_check,uncertainty_or_failure_mode
Revenue,reported fact,91854.0,USD millions,FY2024 (ended 2024-12-28),SEC Form 10-K Consolidated Statements of Income,Total top-line operating scale across beverages and convenient foods,Reconciled with segment revenue disclosures (FLNA + PBNA + International),Foreign exchange headwinds or volume vs pricing mix shift
EBIT or operating income,reported fact,12887.0,USD millions,FY2024 (ended 2024-12-28),SEC Form 10-K Consolidated Statements of Income,Core operating earnings before interest and taxes (GAAP),Reconciled against gross margin () minus SG&A () and intangibles (),One-time restructuring or impairment distortions
Tax evidence,reported fact,0.194,ratio,FY2024 (ended 2024-12-28),SEC Form 10-K Note 5 (Income Taxes),Effective tax rate on continuing operations,Provision for income taxes () / Income before taxes () = 19.4%,Changes in statutory rates or international tax jurisdiction allocations
Depreciation and amortization,reported fact,3160.0,USD millions,FY2024 (ended 2024-12-28),SEC Form 10-K Consolidated Statements of Cash Flows,Non-cash charge added back to compute operating cash flow,Depreciation () + Amortization () in cash flow statement,Useful life estimate revisions or software capitalization pace
Capital expenditures,reported fact,5318.0,USD millions,FY2024 (ended 2024-12-28),SEC Form 10-K Consolidated Statements of Cash Flows,Cash reinvestment in property plant and equipment,Reconciled with investing activities cash outflow note (),Supply chain automation escalation or facility expansion timing
Operating working capital,calculated output,4642.0,USD millions,FY2024 (ended 2024-12-28),SEC Form 10-K Consolidated Balance Sheets,Operating liquidity required: Receivables () + Inventory () - Payables (),Reconciled against changes in working capital in Cash Flow statement,Supply chain inventory holding surges or supplier payment term changes
Cash and non-operating assets,reported fact,8505.0,USD millions,FY2024 (ended 2024-12-28),SEC Form 10-K Consolidated Balance Sheets,Cash and cash equivalents + short-term investments available for bridge,Direct balance sheet line item (Cash and cash equivalents ),Trapped overseas cash or regulatory repatriation limits
Debt and debt-like claims,reported fact,44306.0,USD millions,FY2024 (ended 2024-12-28),SEC Form 10-K Consolidated Balance Sheets,Total debt claim: Short-term borrowings () + Long-term debt (),Reconciled with Note 8 (Short-Term Borrowings and Long-Term Debt),Refinancing interest rate risk or lease liability treatment
Diluted common shares,reported fact,1378.0,million shares,FY2024 (ended 2024-12-28),SEC Form 10-K Consolidated Statements of Income,Weighted average diluted common shares for per-share value,Reconciled with basic share count (1372M) and dilutive option equivalents (6M),Share repurchase pace vs stock-based compensation dilution
Impairment and other charges normalization,normalization,714.0,USD millions,FY2024 (ended 2024-12-28),SEC Form 10-K MD&A p. 49 / Note 3 and 4,Non-cash intangible brand impairments ( SG&A +  intangible asset write-down),Cross-referenced with Note 4 Intangibles,Non-recurring write-downs of brand carrying values
Restructuring and efficiency normalization,normalization,698.0,USD millions,FY2024 (ended 2024-12-28),SEC Form 10-K MD&A p. 49 / Note 3,Multi-year supply chain productivity program ( COGS +  SG&A),Cross-referenced with Note 3 Restructuring,Productivity program timing shifts
Quaker recall impact normalization,normalization,184.0,USD millions,FY2024 (ended 2024-12-28),SEC Form 10-K MD&A p. 49 / QFNA division review,Voluntary product recall costs and inventory disposal ( COGS +  SG&A),Reconciled with QFNA operating loss discussion,One-time manufacturing defect event
Indirect tax impact normalization,normalization,218.0,USD millions,FY2024 (ended 2024-12-28),SEC Form 10-K MD&A p. 49,Historical non-income indirect tax settlement in international operations (Brazil),Reconciled with Note 16 contingencies,Non-recurring legal/tax settlement
Normalized Core EBIT,calculated output,14698.0,USD millions,FY2024 (ended 2024-12-28),SEC Form 10-K MD&A p. 49 Non-GAAP Core Results,Reported EBIT () + Impairments () + Restructuring () + Recall () + Tax () + M&A () - MTM (),Audited Non-GAAP Core Operating Profit reconciliation,Forecast base year selection
